Credit Advisory,Probability,RMs,Pipeline Status,Lead Source 
1. Lead / Intake,0.1,TC,Active,Self-Sourced
2. Discovery & NDA,0.15,KS,Closed - Mandated,Client Referral
3. Preliminary Analysis (Two Pager),0.25,RH,On Hold,Non-Partner Referral
4. Market Sounding & Client Engagement,0.4,FV,Closed - Won,Partner Referral - Panghea
5. Diligence & Financing Memo,0.5,,Closed - Lost,Partner Referral - Cetera
6. Term Sheets & Negotiation,0.6,,,
7. Term sheet Signed & Closing,0.85,,,
8. Closed,1.0,,,
,,,,
,,,,
Credit Advisory Sub-Services ,,,,
Real Estate,,,,
CRE - Construction,,,,
CRE-Residential,,,,
CRE - Land,,,,
CRE - Office,,,,
CRE - Industrial,,,,
CRE - Hotel,,,,
CRE - Retail,,,,
CRE - Other,,,,
LP,,,,
NAV,,,,
GP,,,,
Management Company,,,,
SCF,,,,
Insurance Premium Financing,,,,
Aircraft Financing ,,,,
Art Financing ,,,,
Yacht Financing,,,,
Sports Financing,,,,
Other Financing,,,,
